N_CLIENT,N_POLICE,N_SINISTRE,DATE_ACCIDENT,AGENCE,REGLEMENTS,SAP,TRANSACTION
1754750,1414139952,758000961,2025-08-08,Nabeul 2,332.955760967014,0.0,N
1312912,1401949414,758000966,2025-08-10,Ariana,51.6953658762791,0.0,N
1549100,1401710088,758000969,2025-08-05,Chebba,693.7085355674405,0.0,N
1536928,1401689328,758000973,2025-08-05,Gabès 2,148.08173864655146,0.0,N
1753474,1401935418,758000975,2025-08-03,Ain Zaghouan,478.4573530775652,0.0,N
1412152,1401539592,758000981,2025-08-10,Gabès 4,196.17738893869603,0.0,N
1370892,1401391586,758000986,2025-08-10,Gabès 2,288.5893591368597,0.0,T
1393114,1401593114,758000990,2025-08-10,La Goulette,68.90685380406221,0.0,N
1001940,1401349318,758000997,2025-08-09,Gabès 4,85.79342752032646,0.0,N
1575734,1400175734,758001005,2025-08-06,La Marsa,0.0,463.72151976999413,N
1352958,1401875372,758001006,2025-08-10,Gabès 1,44.322502859616044,0.0,N
1273698,1401473698,758001007,2025-08-10,Ghardimaou,45.463257798250226,0.0,N
1530792,1401414770,758001012,2025-08-07,Sousse 3,35.0072649704764,0.0,N
1769352,1414114752,758001017,2025-08-10,El Jem,61.211240609639226,0.0,N
1109128,1401529274,758001021,2025-08-11,Bizerte,48.26073515318268,0.0,N
1573314,1414179554,758001026,2025-08-10,Ghardimaou,94.07023835286117,0.0,N
1606134,1414092934,758001027,2025-08-10,Zarzis 1,0.0,1545.7383992333139,N
1276954,1401476954,758001029,2025-08-11,Gabès 4,27.252913716882556,0.0,N
1758728,1414174748,758001032,2025-08-10,Lafayette,317.5487680464958,0.0,N
1266086,1400733880,758001033,2025-08-10,Ghardimaou,48.77422944940798,0.0,N
1153994,1400978898,758001036,2025-08-10,Lac II,66.77589884687916,0.0,N
1734866,1414129920,758001038,2025-08-11,Bizerte,64.56394719757628,0.0,N
1733754,1401879094,758001040,2025-08-11,Béja,69.55822796549913,0.0,N
1217598,1401417598,758001042,2025-08-04,La Goulette,236.6689337496522,0.0,N
1807352,1414195190,758001043,2025-08-11,El Jem,266.3452561288528,0.0,N
1529298,1400129298,758001048,2025-08-11,Mutuelleville,91.07614307354623,0.0,N
1277368,1401477368,758001050,2025-08-09,Gabès 4,71.71917024762729,0.0,N
1476612,1401993754,758001051,2025-08-10,Sousse 3,83.9703836522707,0.0,N
1348150,1401777352,758001052,2025-08-09,Ain Zaghouan,70.6526107521563,0.0,N
1793132,1414153330,758001070,2025-08-10,Soliman,80.52616935109903,0.0,N
1539350,1401987388,758001087,2025-08-12,Mutuelleville,83.46987355859895,0.0,N
1495192,1401589540,758001099,2025-08-10,Zarzis 1,180.8520110056574,0.0,N
1012780,1400761812,758001100,2025-08-10,Ghardimaou,75.86020341917335,0.0,N
1495516,1414109320,758001106,2025-08-12,Lac II,64.2718026401212,0.0,N
1353358,1401553358,758001110,2025-08-10,Gabès 4,389.9199307509197,0.0,N
1751940,1414081016,758001113,2025-08-11,Boussalem,89.03453179583887,0.0,N
1761974,1414100090,758001120,2025-08-12,Sidi Hessine,166.9397471171979,0.0,N
1554720,1414187532,758001133,2025-08-12,Bizerte,77.1842829319566,0.0,N
1618952,1401951340,758001134,2025-08-08,Testour,95.65029214455745,0.0,N
1481532,1401587394,758001136,2025-08-12,Ariana,111.2931647447986,0.0,N
1753312,1414159352,758001138,2025-08-10,Grombalia,275.1296874516957,0.0,N
1495138,1401589346,758001143,2025-08-11,Zarzis 1,173.12270071413116,0.0,N
1793592,1414159332,758001144,2025-08-12,Sousse 2,2398.9773394750673,0.0,N
1536176,1401688060,758001147,2025-08-12,Grombalia,115.4048288867592,0.0,N
1792808,1414159214,758001153,2025-08-11,Gabès 4,666.2055213775621,0.0,N
1347536,1401966972,758001161,2025-08-12,La Goulette,40.00340062447832,0.0,N
940932,1414155110,758001162,2025-08-12,Zarzis 1,0.0,463.72151976999413,N
1740758,1414061096,758001165,2025-08-12,Sfax 1,75.19831823662165,0.0,N
1121738,1400809212,758001166,2025-08-08,La Marsa,83.1304294061273,0.0,N
1667558,1401920814,758001167,2025-08-11,Mahdia,347.73240176832473,0.0,N
1313212,1401517572,758001171,2025-08-11,Raoued,1015.2094475530962,0.0,N
1592734,1401339932,758001173,2025-08-09,Béja,103.34126812378274,0.0,N
1693088,1401955354,758001176,2025-08-12,Chebba,111.2931647447986,0.0,N
1329338,1414019352,758001189,2025-08-13,Chebba,52.86425325377933,0.0,N
1337192,1401341612,758001193,2025-08-04,Sfax 2,1329.33502334065,0.0,N
1099200,1414073350,758001194,2025-08-02,Sousse 2,163.19906019105326,0.0,N
1175470,1401154730,758001198,2025-08-02,Sousse 3,166.22128790923426,0.0,N
774758,1400741334,758001205,2025-08-13,Testour,300.5966550221041,0.0,N
1755488,1414087932,758001219,2025-08-05,Sfax 5,88.24867839366865,0.0,N
1589736,1401779512,758001220,2025-08-04,Beni Khalled,110.36572170525861,0.0,N
1289332,1401501972,758001221,2025-08-14,Ain Zaghouan,83.46987355859895,0.0,N
1713594,1414013876,758001222,2025-08-14,Bizerte,22.28645624014592,0.0,N
1332750,1401532750,758001230,2025-08-11,Sousse 2,0.0,463.72151976999413,N
1312948,1401815066,758001234,2025-08-11,Place Barcelone,1181.691656104121,54.899063282530065,N
1541536,1401473960,758001242,2025-08-14,Hammamet 1,125.20481033789842,0.0,N
814156,1401549372,758001243,2025-08-12,Sousse 2,35.19893653198133,0.0,N
1568112,1400168112,758001244,2025-08-03,La Marsa,148.60543481621173,0.0,N
1337526,1401537526,758001247,2025-08-11,Djerba 2,13.911645593099825,0.0,N
1713360,1401993320,758001249,2025-08-15,Mahdia,64.27211178780104,0.0,N
1133926,1401534132,758001251,2025-08-13,Hammamet 1,67.91418060407457,0.0,N
1573066,1400720930,758001253,2025-08-06,Béja,276.43985531888586,0.0,N
1701670,1401993678,758001257,2025-08-14,El Jem,42.15228614709247,0.0,N
1007300,1400772734,758001262,2025-08-04,El Jem,369.9387887593904,0.0,T
1291768,1401553540,758001263,2025-08-14,Djerba 1,139.11645593099826,0.0,N
1155346,1401351136,758001271,2025-08-14,Bizerte,60.68259807710143,0.0,N
1727078,1414155016,758001283,2025-08-14,Sfax 2,87.44829505054565,0.0,N
1216976,1401900166,758001286,2025-08-06,Djerba 2,1104.8434167001578,0.0,N
1695138,1401989520,758001288,2025-08-11,Mahdia,1482.0539771849012,0.0,N
1537288,1414113554,758001293,2025-08-12,La Goulette,404.1660741336137,0.0,N
1573372,1400173372,758001297,2025-08-15,Zarzis 1,68.44251398893252,0.0,N
1331272,1401531272,758001298,2025-08-11,Mahdia,45.07373172164343,0.0,N
1281556,1400732116,758001302,2025-08-14,Ain Zaghouan,55.6465823723993,0.0,N
915374,1414191076,758001307,2025-08-10,Hammamet 1,139.11645593099826,0.0,N
1711290,1414015554,758001309,2025-08-15,M'saken,95.02488638822766,0.0,N
1379210,1401679336,758001312,2025-08-14,Gabès 2,835.9616038581631,0.0,N
1367934,1401954746,758001319,2025-08-05,Lac II,450.211766160695,0.0,T
1677616,1401941616,758001322,2025-08-10,Lac II,112.08705598664483,0.0,N
1112958,1400913950,758001323,2025-08-12,Menzel Bourguiba,54.33919683432776,0.0,N
1272752,1401472752,758001324,2025-08-12,Djerba 1,1542.2539957337622,0.0,N
1753486,1414092012,758001326,2025-08-15,Kairouan 1,626.0030296472626,0.0,T
1553592,1401573210,758001328,2025-08-14,Boussalem,75.12288620273905,0.0,N
981534,1400733876,758001335,2025-08-15,Medjez El Bab,36.003647942622194,0.0,N
1691560,1401966894,758001346,2025-08-11,Teboulba,69.94157108850898,0.0,N
1807136,1414193556,758001360,2025-08-06,Gabès 1,1079.3875784462239,0.0,N
1127534,1400815206,758001364,2025-08-04,La Goulette,636.7808452097568,0.0,N
1352126,1401361260,758001366,2025-08-14,Lac II,111.2931647447986,0.0,N
737000,1401588136,758001369,2025-08-13,Sfax 5,111.2931647447986,0.0,N
1375872,1401575872,758001384,2025-08-08,Ghardimaou,505.542399604291,0.0,N
1532012,1401517594,758001388,2025-08-15,Ghardimaou,33.38794942343958,0.0,N
