N_CLIENT,Segment_Label,CA_TOTAL,BONUS_MALUS_MOY,SCORE_RISQUE
1275354,Client Premium,910.907,1.3461538461538465,0.8444498250837357
1553338,Client Premium,767.53,3.375,0.8444471326465777
1559354,Client Premium,1162.5,1.95,0.844372478252383
1535354,Client Premium,971.37,2.0,0.8440897498991593
1493552,Client Premium,1075.486,3.6666666666666665,0.8440668813035779
1535532,Client Premium,929.631,1.434782608695652,0.84405325869466
1355328,Client Premium,851.99,2.4166666666666665,0.8440456288084579
1575334,Client Premium,1068.68,2.0526315789473686,0.8439768362931932
1335132,Client Premium,1066.5,2.5294117647058822,0.8439524782520857
1549294,Client Premium,1167.486,2.0,0.8438045973425993
1335338,Client Premium,1024.536,2.347826086956522,0.8437669143439015
1213552,Client Premium,860.77,1.9,0.8437551670953899
1333356,Client Premium,1233.97,2.333333333333333,0.843405855445275
1559548,Client Premium,1115.6,2.625,0.8432096306133972
1333546,Client Premium,915.2,2.0454545454545454,0.8431557943958632
1333554,Client Premium,1037.8,1.4545454545454546,0.8430366530495188
1373532,Client Premium,857.972,2.458333333333333,0.8429452422218116
1555736,Client Premium,1258.28,2.3157894736842106,0.8429027390545746
1393546,Client Premium,860.72,1.5454545454545454,0.8428991153907346
1327554,Client Premium,1194.675,2.0,0.8428153156221059
1733546,Client Premium,1300.177,2.8421052631578947,0.8425335681882723
1555346,Client Premium,757.255,1.809523809523809,0.8424732576906183
1139594,Client Premium,3090.538,2.869565217391304,0.8421943516240183
1355492,Client Premium,796.7429999999999,2.260869565217391,0.8420032350577584
1353554,Client Premium,1023.403,1.6071428571428572,0.8419736855020055
1555136,Client Premium,1013.64,1.36,0.8415792722732851
1393548,Client Premium,709.601,3.1739130434782608,0.8414820352474576
1759334,Client Premium,1643.619,4.631578947368421,0.841422041231412
1353338,Client Premium,766.435,1.818181818181818,0.8413006254087954
1355934,Client Premium,1105.8,3.210526315789474,0.8411158325656101
1293332,Client Premium,876.695,2.263157894736842,0.840642719011623
1535526,Client Premium,832.786,1.85,0.8406062783808846
1333536,Client Premium,841.75,1.6666666666666667,0.8401495960110832
1755334,Client Premium,1761.46,6.368421052631579,0.8401147053567081
1359934,Client Premium,824.6,1.894736842105263,0.839968412422659
1535550,Client Premium,897.23,2.5,0.839962280853832
1333552,Client Premium,889.5,2.5789473684210527,0.8399525959828101
1553320,Client Premium,843.135,2.8421052631578947,0.8398797947533754
1593354,Client Premium,1359.243,2.611111111111111,0.8394523931142461
1539954,Client Premium,1016.19,2.631578947368421,0.8392716500303739
1355520,Client Premium,771.3,1.4583333333333333,0.8392170516287862
1394152,Client Premium,988.9,2.05,0.8390851112040478
1353948,Client Premium,1058.995,1.5909090909090908,0.8388671997419503
