N_CLIENT,CLUSTER_ID,Segment_Label,CA_TOTAL,PRIME_MOYENNE,NB_CONTRATS,AGE,BONUS_MALUS_MOY,NB_SINISTRES,TOTAL_REGLEMENTS,CAPITAUX_MOY
1208154,2,Autres Clients,98.0,98.0,1,68.0,1.0,0.0,0.0,0.0
1208156,1,Client Economique,100.25,33.416666666666664,3,63.666666666666664,1.0,0.0,0.0,333.3333333333333
1208158,2,Autres Clients,65.0,16.25,4,57.0,1.0,0.0,0.0,1000.0
1208168,1,Client Economique,77.52,25.84,3,74.66666666666667,1.0,0.0,0.0,4800.0
1208176,1,Client Economique,99.5,33.166666666666664,3,60.0,1.0,0.0,0.0,0.0
1208188,6,Client a Risque,116.5,58.25,2,66.0,2.0,0.0,0.0,500.0
1208190,2,Autres Clients,55.0,55.0,1,59.0,4.0,0.0,0.0,0.0
1208194,2,Autres Clients,2.25,2.25,1,50.0,3.0,0.0,0.0,1000.0
1208612,1,Client Economique,223.0,22.3,10,58.6,1.0,0.0,0.0,400.0
1208660,1,Client Economique,246.7,61.675,4,61.75,1.0,0.0,0.0,6000.0
1208670,6,Client a Risque,125.25,41.75,3,74.0,1.0,0.0,0.0,2333.3333333333335
1208672,1,Client Economique,189.75,37.95,5,61.4,1.0,0.0,0.0,480.0
1208674,1,Client Economique,278.1,69.525,4,52.5,1.0,0.0,0.0,5000.0
1208678,3,Client Grand Contrat,235.8,235.8,1,73.0,2.0,0.0,0.0,0.0
1208690,6,Client a Risque,358.6,89.65,4,68.5,1.0,0.0,0.0,1000.0
1208692,1,Client Economique,92.0,30.666666666666668,3,49.333333333333336,1.0,0.0,0.0,133.33333333333334
1208706,4,Client Capital Eleve,240.6,40.1,6,39.333333333333336,4.0,0.0,0.0,14166.666666666666
1208710,1,Client Economique,94.05,31.349999999999998,3,66.33333333333333,2.0,0.0,0.0,6666.666666666667
1208714,1,Client Economique,217.44,31.062857142857144,7,66.0,1.0,0.0,0.0,1428.5714285714287
1208720,1,Client Economique,57.625,19.208333333333332,3,67.33333333333333,1.0,0.0,0.0,1000.0
1208728,6,Client a Risque,199.185,99.5925,2,72.0,1.0,0.0,0.0,0.0
1208732,5,Client Premium,437.755,31.268214285714286,14,64.07142857142857,1.2142857142857142,0.0,0.0,4714.285714285715
1208736,1,Client Economique,260.8,65.2,4,62.0,2.0,0.0,0.0,100.0
1208740,1,Client Economique,105.0,52.5,2,62.5,1.5,0.0,0.0,0.0
1208746,1,Client Economique,234.6,58.65,4,68.5,1.0,0.0,0.0,100.0
1208750,1,Client Economique,331.25,47.32142857142857,7,56.857142857142854,1.2857142857142858,0.0,0.0,1857.142857142857
1208752,6,Client a Risque,217.52,43.504000000000005,5,58.0,1.0,0.0,0.0,1600.0
1208756,6,Client a Risque,30.0,30.0,1,68.0,5.0,1.0,0.0,400.0
1208758,6,Client a Risque,267.5,44.583333333333336,6,60.333333333333336,1.3333333333333333,0.0,0.0,233.33333333333334
1208760,1,Client Economique,123.0,30.75,4,63.5,1.0,0.0,0.0,1000.0
1208778,6,Client a Risque,140.0,140.0,1,43.0,4.0,0.0,0.0,0.0
1208790,6,Client a Risque,98.0,98.0,1,72.0,1.0,1.0,967.6322379200544,0.0
1208792,2,Autres Clients,185.5,61.833333333333336,3,49.0,3.0,0.0,0.0,333.3333333333333
1208794,1,Client Economique,139.5,46.5,3,63.333333333333336,2.0,0.0,0.0,0.0
1208814,6,Client a Risque,222.1,111.05,2,71.0,1.0,0.0,0.0,5000.0
1208816,6,Client a Risque,107.0,53.5,2,64.0,1.0,0.0,0.0,2000.0
1208892,2,Autres Clients,55.0,55.0,1,45.0,6.0,0.0,0.0,0.0
1208896,1,Client Economique,81.0,27.0,3,62.0,1.0,0.0,0.0,133.33333333333334
1208898,2,Autres Clients,170.25,56.75,3,45.666666666666664,5.0,0.0,0.0,333.3333333333333
1208906,1,Client Economique,79.25,26.416666666666668,3,54.666666666666664,1.0,0.0,0.0,333.3333333333333
1208912,2,Autres Clients,110.75,27.6875,4,59.0,1.0,1.0,55.64410919096053,5000.0
1208914,2,Autres Clients,112.0,56.0,2,74.0,2.0,0.0,0.0,0.0
1208926,6,Client a Risque,168.43,56.14333333333334,3,55.0,1.0,0.0,0.0,8666.666666666666
1208928,1,Client Economique,62.75,15.6875,4,56.0,1.0,0.0,0.0,250.0
1208936,6,Client a Risque,88.0,88.0,1,49.0,2.0,0.0,0.0,0.0
1208940,6,Client a Risque,4.5,4.5,1,37.0,1.0,0.0,0.0,1000.0
1208946,1,Client Economique,85.0,85.0,1,73.0,4.0,0.0,0.0,0.0
1208954,7,Client Jeune Conducteur,91.49,30.496666666666666,3,42.333333333333336,4.0,0.0,0.0,6633.333333333333
1208956,6,Client a Risque,112.0,112.0,1,58.0,2.0,0.0,0.0,0.0
1208970,3,Client Grand Contrat,393.0,393.0,1,57.0,5.0,0.0,0.0,0.0
1208976,1,Client Economique,49.0,49.0,1,73.0,1.0,0.0,0.0,0.0
1208990,1,Client Economique,27.5,27.5,1,74.0,1.0,0.0,0.0,0.0
1208992,5,Client Premium,258.5,28.72222222222222,9,46.44444444444444,2.5555555555555554,0.0,0.0,711.1111111111111
1209012,2,Autres Clients,136.5,45.5,3,60.0,1.0,0.0,0.0,333.3333333333333
1209016,1,Client Economique,99.25,19.85,5,70.4,1.0,0.0,0.0,200.0
1209060,2,Autres Clients,140.5,46.833333333333336,3,70.66666666666667,1.0,0.0,0.0,133.33333333333334
1209072,2,Autres Clients,99.5,33.166666666666664,3,64.66666666666667,1.0,0.0,0.0,0.0
1209078,2,Autres Clients,205.5,51.375,4,60.25,5.0,0.0,0.0,0.0
1209100,2,Autres Clients,68.0,34.0,2,63.0,1.0,0.0,0.0,10000.0
1209108,1,Client Economique,191.25,38.25,5,69.4,1.0,0.0,0.0,2000.0
1209112,1,Client Economique,133.25,22.208333333333332,6,60.333333333333336,2.0,0.0,0.0,2333.3333333333335
1209114,1,Client Economique,160.625,26.770833333333332,6,74.5,1.0,0.0,0.0,2333.3333333333335
1209118,6,Client a Risque,102.6,51.3,2,43.0,1.0,0.0,0.0,4000.0
1209120,6,Client a Risque,98.0,98.0,1,62.0,1.0,0.0,0.0,0.0
1209126,6,Client a Risque,134.54399999999998,67.27199999999999,2,57.0,1.0,0.0,0.0,6500.0
1209130,1,Client Economique,165.75,41.4375,4,54.5,2.0,0.0,0.0,250.0
1209136,2,Autres Clients,422.699,60.38557142857143,7,64.14285714285714,1.4285714285714286,0.0,0.0,7000.0
1209140,6,Client a Risque,119.0,119.0,1,46.0,1.0,0.0,0.0,0.0
1209148,1,Client Economique,40.0,20.0,2,61.0,1.0,1.0,94.07085664822084,0.0
1209150,1,Client Economique,162.442,27.073666666666668,6,67.33333333333333,1.0,0.0,0.0,1216.6666666666667
1209152,2,Autres Clients,426.5,85.3,5,63.2,1.6,1.0,0.0,1200.0
1209156,6,Client a Risque,116.5,29.125,4,70.0,1.0,0.0,0.0,2250.0
1209158,6,Client a Risque,214.1,107.05,2,41.0,1.0,0.0,0.0,500.0
1209168,2,Autres Clients,38.5,38.5,1,70.0,1.0,0.0,0.0,0.0
1209180,1,Client Economique,112.0,56.0,2,60.5,2.0,0.0,0.0,0.0
1209188,6,Client a Risque,98.0,98.0,1,59.0,1.0,0.0,0.0,0.0
1209198,3,Client Grand Contrat,413.449,413.449,1,39.0,3.0,0.0,0.0,0.0
1209208,2,Autres Clients,161.0,23.0,7,55.142857142857146,2.142857142857143,0.0,0.0,857.1428571428571
1209210,1,Client Economique,74.625,37.3125,2,71.0,1.0,0.0,0.0,7500.0
1209212,2,Autres Clients,143.51,35.8775,4,72.0,1.0,0.0,0.0,4975.0
1209214,1,Client Economique,215.5,30.785714285714285,7,55.857142857142854,1.5714285714285714,1.0,53.03119300089653,5857.142857142857
1209268,1,Client Economique,210.85,35.141666666666666,6,52.0,3.0,0.0,0.0,10066.666666666666
1209276,1,Client Economique,194.77,38.954,5,57.0,1.0,0.0,0.0,5600.0
1209292,1,Client Economique,241.25,40.208333333333336,6,46.333333333333336,1.8333333333333333,0.0,0.0,3566.6666666666665
1209294,6,Client a Risque,61.98,30.99,2,51.0,1.0,0.0,0.0,9500.0
1209296,1,Client Economique,95.75,23.9375,4,69.5,1.0,0.0,0.0,250.0
1209306,4,Client Capital Eleve,94.75,47.375,2,54.0,2.0,0.0,0.0,15500.0
1209310,1,Client Economique,28.75,14.375,2,64.0,2.0,1.0,79.67261260704238,5000.0
1209312,1,Client Economique,316.6,52.76666666666667,6,64.0,1.0,0.0,0.0,1000.0
1209318,1,Client Economique,125.56,41.85333333333333,3,61.333333333333336,1.0,0.0,0.0,5666.666666666667
1209328,2,Autres Clients,153.0,76.5,2,36.0,1.0,0.0,0.0,0.0
1209330,6,Client a Risque,238.0,39.666666666666664,6,58.5,1.0,0.0,0.0,733.3333333333334
1209336,5,Client Premium,508.5,56.5,9,64.22222222222223,1.5555555555555556,0.0,0.0,2333.3333333333335
1209340,1,Client Economique,271.6,45.26666666666667,6,62.166666666666664,1.0,0.0,0.0,3583.3333333333335
1209350,1,Client Economique,174.15,34.83,5,60.0,1.0,1.0,94.56920270813367,4300.0
1209352,5,Client Premium,916.45,152.74166666666667,6,58.166666666666664,1.5,1.0,2944.6851330880763,4333.333333333333
1209354,5,Client Premium,298.5,33.166666666666664,9,61.0,2.7777777777777777,0.0,0.0,444.44444444444446
1209358,1,Client Economique,78.5,15.7,5,58.2,1.0,0.0,0.0,1200.0
1209360,1,Client Economique,163.375,27.229166666666668,6,73.33333333333333,1.0,0.0,0.0,2666.6666666666665
